Episode,Train_Reward,Val_Reward,Epsilon,Learning_Rate
417,878.4946048855782,,0.01,0.0001
418,473.7179622799158,,0.01,0.0001
419,610.9634347632527,,0.01,0.0001
420,912.2999712303281,,0.01,0.0001
421,599.9999816566706,,0.01,0.0001
422,421.8977949693799,,0.01,0.0001
423,346.7455594241619,,0.01,0.0001
424,688.8198499977589,,0.01,0.0001
425,280.7829089164734,,0.01,0.0001
426,934.0999710708857,,0.01,0.0001
427,574.9116687104106,,0.01,0.0001
428,896.4538968801498,,0.01,0.0001
429,642.3728663697839,,0.01,0.0001
430,714.8147968426347,,0.01,0.0001
431,888.188947275281,,0.01,0.0001
432,864.1576873809099,,0.01,0.0001
433,396.68872544169426,,0.01,0.0001
434,485.6164217963815,,0.01,0.0001
435,340.7894648015499,,0.01,0.0001
436,634.9823411554098,,0.01,0.0001
437,447.44523913413286,,0.01,0.0001
438,467.567561224103,,0.01,0.0001
439,264.5833279117942,,0.01,0.0001
440,338.12708343565464,,0.01,0.0001
441,777.8625676110387,,0.01,0.0001
442,301.19760317355394,,0.01,0.0001
443,626.5917435064912,,0.01,0.0001
444,52.18718372285366,,0.01,0.0001
445,918.19999961555,,0.01,0.0001
446,588.6792532205582,,0.01,0.0001
447,393.24325758218765,,0.01,0.0001
448,924.4999795928597,,0.01,0.0001
449,443.16546389460564,,0.01,0.0001
450,889.7610703334212,,0.01,0.0001
451,874.5454440638423,,0.01,0.0001
452,83.94648449122906,,0.01,0.0001
453,237.53944344818592,,0.01,0.0001
454,278.4722166582942,,0.01,0.0001
455,861.538447059691,,0.01,0.0001
456,448.4949748888612,,0.01,0.0001
457,835.0180310159922,,0.01,0.0001
458,873.8561792373657,,0.01,0.0001
459,822.3300987482071,,0.01,0.0001
460,889.5470201298594,,0.01,0.0001
461,882.1429057866335,,0.01,0.0001
462,848.7179771289229,,0.01,0.0001
463,307.05129121243954,,0.01,0.0001
464,357.44680589437485,,0.01,0.0001
465,344.4444300159812,,0.01,0.0001
466,879.7979582175612,,0.01,0.0001
467,925.4999692365527,,0.01,0.0001
468,509.2715033739805,,0.01,0.0001
469,327.71082988381386,,0.01,0.0001
470,880.1324196755886,,0.01,0.0001
471,600.0000106245279,,0.01,0.0001
472,719.6202810630202,,0.01,0.0001
473,868.1274827122688,,0.01,0.0001
474,885.18519282341,,0.01,0.0001
475,828.0303162261844,,0.01,0.0001
476,76.92307453602552,,0.01,0.0001
477,824.6575085222721,,0.01,0.0001
478,52.17390909045935,,0.01,0.0001
479,845.6521586328745,,0.01,0.0001
480,655.395679153502,,0.01,0.0001
481,896.1685892492533,,0.01,0.0001
482,374.9034870415926,,0.01,0.0001
483,915.4000037610531,,0.01,0.0001
484,504.8950952589512,,0.01,0.0001
485,896.5277658775449,,0.01,0.0001
486,877.4919862821698,,0.01,0.0001
487,928.9000225365162,,0.01,0.0001
488,889.0510662645102,,0.01,0.0001
489,84.31372867524624,,0.01,0.0001
490,862.8252910971642,,0.01,0.0001
491,906.7999711483717,,0.01,0.0001
492,526.4150982797146,,0.01,0.0001
493,873.6842246428132,,0.01,0.0001
494,548.275867678225,,0.01,0.0001
495,813.3858009278774,,0.01,0.0001
496,846.8438277989626,,0.01,0.0001
497,880.5194986388087,,0.01,0.0001
498,859.9999896511436,,0.01,0.0001
499,915.9999724775553,,0.01,0.0001
500,685.4785430952907,537.1706385657682,0.01,0.0001
501,927.5000078007579,,0.01,0.0001
502,463.7065784111619,,0.01,0.0001
503,901.0999792441726,,0.01,0.0001
504,817.1597598269582,,0.01,0.0001
505,896.5635454058647,,0.01,0.0001
506,802.7777667418122,,0.01,0.0001
507,856.228935316205,,0.01,0.0001
508,471.98444739729166,,0.01,0.0001
509,920.500017657876,,0.01,0.0001
510,928.9999964982271,,0.01,0.0001
511,932.7000278010964,,0.01,0.0001
512,881.7517963945866,,0.01,0.0001
513,896.4157515242696,,0.01,0.0001
514,869.4915064647794,,0.01,0.0001
515,517.2413846626878,,0.01,0.0001
516,855.1282285675406,,0.01,0.0001
517,893.2432739213109,,0.01,0.0001
518,896.2264222577214,,0.01,0.0001
519,831.8996235281229,,0.01,0.0001
520,896.1831746995449,,0.01,0.0001
521,539.072826564312,,0.01,0.0001
522,927.7000147625804,,0.01,0.0001
523,573.4693989232183,,0.01,0.0001
524,630.4075221046805,,0.01,0.0001
525,182.42074745893478,,0.01,0.0001
526,928.3999897092581,,0.01,0.0001
527,360.43165143579245,,0.01,0.0001
528,457.1955656707287,,0.01,0.0001
529,622.3880556225777,,0.01,0.0001
530,880.9159995913506,,0.01,0.0001
531,886.5771632120013,,0.01,0.0001
532,857.8544126749039,,0.01,0.0001
533,181.34555738419294,,0.01,0.0001
534,613.2867020145059,,0.01,0.0001
535,875.2650301605463,,0.01,0.0001
536,836.8421206027269,,0.01,0.0001
537,930.0000270977616,,0.01,0.0001
538,81.48148151487112,,0.01,0.0001
539,929.1999907642603,,0.01,0.0001
540,67.23549052327871,,0.01,0.0001
541,889.5833216011524,,0.01,0.0001
542,888.6792523786426,,0.01,0.0001
543,491.17647709697485,,0.01,0.0001
544,866.9117701500654,,0.01,0.0001
545,889.4737003073096,,0.01,0.0001
546,852.3809811472893,,0.01,0.0001
547,922.9999713897705,,0.01,0.0001
548,577.7408450618386,,0.01,0.0001
549,811.7646778300405,,0.01,0.0001
550,912.8999995365739,,0.01,0.0001
551,137.35408952832222,,0.01,0.0001
552,882.993214212358,,0.01,0.0001
553,700.7379993200302,,0.01,0.0001
554,89.28571602702141,,0.01,0.0001
555,861.2403178438544,,0.01,0.0001
556,890.2280399426818,,0.01,0.0001
557,896.2546590343118,,0.01,0.0001
558,887.2204557582736,,0.01,0.0001
559,893.0555437877774,,0.01,0.0001
560,775.9098803326488,,0.01,0.0001
561,851.8072288557887,,0.01,0.0001
562,915.1000250428915,,0.01,0.0001
563,854.0983599573374,,0.01,0.0001
564,614.2857007086277,,0.01,0.0001
565,858.9552432373166,,0.01,0.0001
566,882.5174676626921,,0.01,0.0001
567,718.1818330064416,,0.01,0.0001
568,854.063616424799,,0.01,0.0001
569,915.8999793678522,,0.01,0.0001
570,562.3376741930842,,0.01,0.0001
571,666.2337801977992,,0.01,0.0001
572,840.9594001099467,,0.01,0.0001
573,927.6000084578991,,0.01,0.0001
574,63.879594907164574,,0.01,0.0001
575,572.5978479683399,,0.01,0.0001
576,876.7441939637065,,0.01,0.0001
577,908.1999723613262,,0.01,0.0001
578,874.0259919166565,,0.01,0.0001
579,890.5063635110855,,0.01,0.0001
580,874.5454440638423,,0.01,0.0001
581,931.0999952852726,,0.01,0.0001
582,923.8000224605203,,0.01,0.0001
583,921.3999811708927,,0.01,0.0001
584,888.1422745957971,,0.01,0.0001
585,455.9321918413043,,0.01,0.0001
586,924.6999864429235,,0.01,0.0001
587,861.4035245552659,,0.01,0.0001
588,556.8627246841788,,0.01,0.0001
589,888.2353179231286,,0.01,0.0001
590,893.7304061204195,,0.01,0.0001
591,859.8662074878812,,0.01,0.0001
592,915.4999690875411,,0.01,0.0001
593,916.5000259205699,,0.01,0.0001
594,842.7480622008443,,0.01,0.0001
595,896.2546594142914,,0.01,0.0001
596,490.2777699455619,,0.01,0.0001
597,850.3816508948803,,0.01,0.0001
598,929.8000073507428,,0.01,0.0001
599,908.2000309228897,,0.01,0.0001
600,881.5498058795929,764.9619130653072,0.01,0.0001
601,893.079567797482,,0.01,0.0001
602,615.6250204965472,,0.01,0.0001
603,919.39998845011,,0.01,0.0001
604,926.7000150382519,,0.01,0.0001
605,886.4406586065888,,0.01,0.0001
606,871.337603867054,,0.01,0.0001
607,688.0794447958469,,0.01,0.0001
608,440.84505036473274,,0.01,0.0001
609,913.1000024527311,,0.01,0.0001
610,882.8178417012095,,0.01,0.0001
611,903.2999948710203,,0.01,0.0001
612,920.5000312030315,,0.01,0.0001
613,924.400030605495,,0.01,0.0001
614,863.855392202735,,0.01,0.0001
615,890.9909812435508,,0.01,0.0001
616,890.2912643551826,,0.01,0.0001
617,886.9707107618451,,0.01,0.0001
618,883.7662521451712,,0.01,0.0001
619,916.8000272512436,,0.01,0.0001
620,927.6000133603811,,0.01,0.0001
621,892.7272618860006,,0.01,0.0001
622,913.6999863758683,,0.01,0.0001
623,896.8652021661401,,0.01,0.0001
624,863.2106888592243,,0.01,0.0001
625,893.5691570416093,,0.01,0.0001
626,887.5389243885875,,0.01,5e-05
627,927.8000271618366,,0.01,5e-05
628,920.9000089168549,,0.01,5e-05
629,928.9000208899379,,0.01,5e-05
630,887.5000288262963,,0.01,5e-05
631,912.5999699831009,,0.01,5e-05
632,919.2999713346362,,0.01,5e-05
633,877.1987234130502,,0.01,5e-05
634,926.6000076904893,,0.01,5e-05
635,931.5999908000231,,0.01,5e-05
636,926.5000306367874,,0.01,5e-05
637,893.0555435940623,,0.01,5e-05
638,243.65325189381838,,0.01,5e-05
639,932.7999823987484,,0.01,5e-05
640,890.5363136529922,,0.01,5e-05
641,889.3238196074963,,0.01,5e-05
642,886.1110993176699,,0.01,5e-05
643,880.891744248569,,0.01,5e-05
644,785.0174050629139,,0.01,5e-05
645,893.4210347235203,,0.01,5e-05
646,929.9000082239509,,0.01,5e-05
647,921.9000026807189,,0.01,5e-05
648,199.69418114423752,,0.01,5e-05
649,886.6220601052046,,0.01,5e-05
650,58.94039164483547,,0.01,5e-05
651,931.2999951913953,,0.01,5e-05
652,727.7027277126908,,0.01,5e-05
653,884.7561118453741,,0.01,5e-05
654,924.1000132113695,,0.01,5e-05
655,929.199983254075,,0.01,5e-05
656,893.1740385890007,,0.01,5e-05
657,892.8057501465082,,0.01,5e-05
658,880.1980144008994,,0.01,5e-05
659,547.9400601908565,,0.01,5e-05
660,896.8454621583223,,0.01,5e-05
661,821.9858115538955,,0.01,5e-05
662,928.9000148773193,,0.01,5e-05
663,890.8536732122302,,0.01,5e-05
664,878.1250287294388,,0.01,5e-05
665,863.210689149797,,0.01,5e-05
666,935.4999710917473,,0.01,5e-05
667,925.7000209391117,,0.01,5e-05
668,873.2938037365675,,0.01,5e-05
669,880.2631402015686,,0.01,5e-05
670,896.6216523125768,,0.01,5e-05
671,256.4013770073652,,0.01,5e-05
672,919.7999729141593,,0.01,5e-05
673,924.800030708313,,0.01,5e-05
674,91.88191558420658,,0.01,5e-05
675,874.3590036854148,,0.01,5e-05
676,890.7120806053281,,0.01,5e-05
677,921.9999818578362,,0.01,5e-05
678,894.3502823635936,,0.01,5e-05
679,892.1875230148435,,0.01,5e-05
680,933.4999835118651,,0.01,5e-05
681,928.6999776288867,,0.01,5e-05
682,896.4912443906069,,0.01,5e-05
683,890.797560967505,,0.01,5e-05
684,937.1000085994601,,0.01,5e-05
685,885.5072307214141,,0.01,5e-05
686,938.6000232025981,,0.01,5e-05
